Season,Total de Vitórias,Vitórias em Casa,Vitórias Fora de Casa,Total de Derrotas,Derrotas em Casa,Derrotas Fora de Casa
2023-24,27,9,18,55,32,23
2024-25,35,21,14,17,6,11
