SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,WL_BIN,PTS_NORM
22023,1629630,22300491,2024-01-05,MEM @ LAL,W,35.0,7.0,17.0,0.41,3.0,7.0,0.43,4.0,5.0,0.8,2.0,5.0,7.0,7.0,1.0,1.0,2.0,3.0,21.0,15.0,1,1,0.24
22023,1629630,22300470,2024-01-03,MEM vs. TOR,L,35.0,10.0,18.0,0.56,3.0,6.0,0.5,5.0,6.0,0.83,1.0,7.0,7.5,9.0,1.0,0.0,2.0,1.0,28.0,-7.0,1,0,0.65
22023,1629630,22300460,2024-01-02,MEM vs. SAS,W,35.0,7.0,15.0,0.47,3.0,9.0,0.33,9.0,11.0,0.75,0.0,5.0,5.0,10.0,1.0,0.0,4.0,3.0,26.0,-1.0,1,1,0.53
22023,1629630,22300449,2023-12-31,MEM vs. SAC,L,33.5,4.0,12.0,0.33,2.0,4.0,0.5,7.0,8.0,0.88,0.0,3.0,3.5,3.0,0.0,0.0,0.0,3.0,17.0,-9.0,1,0,0.0
22023,1629630,22300438,2023-12-29,MEM @ LAC,L,37.0,7.0,19.0,0.37,0.0,7.0,0.0,5.0,6.0,0.83,0.0,6.0,6.0,10.0,0.0,0.0,3.0,4.0,19.0,-19.0,1,0,0.12
22023,1629630,22300410,2023-12-26,MEM @ NOP,W,37.5,12.0,24.0,0.5,1.0,7.0,0.14,6.0,8.0,0.75,0.0,4.0,4.0,7.0,1.0,2.0,6.0,2.0,31.0,3.0,1,1,0.82
22023,1629630,22300393,2023-12-23,MEM @ ATL,W,36.0,14.0,25.0,0.56,1.0,3.0,0.33,2.0,3.0,0.88,0.0,6.0,6.0,11.0,1.0,1.0,3.0,1.0,30.0,2.0,1,1,0.76
22023,1629630,22300377,2023-12-21,MEM vs. IND,W,34.0,7.0,16.0,0.44,1.0,3.0,0.33,5.0,6.0,0.83,0.0,5.0,5.0,8.0,0.0,0.0,2.0,0.0,20.0,15.0,1,1,0.18
22023,1629630,22300360,2023-12-19,MEM @ NOP,W,35.0,12.0,24.0,0.5,0.0,5.0,0.0,10.0,11.0,0.83,2.5,3.0,6.0,8.0,2.0,1.0,5.0,2.0,34.0,12.0,1,1,1.0
