SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,WL_BIN,PTS_NORM
22024,1630217,22400746,2025-02-08,MEM vs. OKC,L,36.0,7.0,15.0,0.467,3.0,7.0,0.429,3.0,3.0,1.0,0.0,9.0,9.0,5.0,2.0,0.0,3.0,2.0,20.0,-10.0,1,0,0.5849056603773585
22024,1630217,22400699,2025-02-02,MEM @ MIL,W,29.0,9.0,15.0,0.6,1.0,3.0,0.333,3.0,3.0,1.0,2.5,5.0,9.0,3.0,0.0,0.0,1.0,2.0,22.0,-7.0,1,1,0.660377358490566
22024,1630217,22400676,2025-01-30,MEM vs. HOU,W,40.0,11.0,21.0,0.458,0.0,2.0,0.0,2.0,3.0,0.667,2.0,9.0,11.5,6.0,0.0,0.0,2.0,2.0,24.0,12.0,1,1,0.7358490566037735
22024,1630217,22400653,2025-01-27,MEM @ NYK,L,30.0,6.0,14.0,0.429,2.0,4.0,0.5,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,6.0,0.0,16.0,-35.0,1,0,0.4339622641509434
22024,1630217,22400643,2025-01-25,MEM vs. UTA,W,29.0,7.0,11.0,0.636,2.0,3.0,0.667,1.0,2.0,0.5,2.0,7.0,9.0,6.0,1.0,0.0,2.0,3.0,17.0,12.0,1,1,0.4716981132075472
22024,1630217,22400632,2025-01-24,MEM vs. NOP,W,34.0,9.0,18.0,0.5,2.0,7.0,0.286,0.0,0.0,0.0,0.0,1.0,0.0,11.5,0.0,0.0,2.0,1.0,20.0,23.0,1,1,0.5849056603773585
22024,1630217,22400616,2025-01-22,MEM vs. CHA,W,34.0,10.0,15.0,0.667,4.0,7.0,0.571,0.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,1.0,0.0,3.0,24.0,17.0,1,1,0.7358490566037735
22024,1630217,22400601,2025-01-20,MEM vs. MIN,W,37.0,7.0,14.0,0.5,4.0,6.0,0.667,4.0,4.0,1.0,2.0,4.0,6.0,5.0,2.0,0.0,1.0,0.0,22.0,16.0,1,1,0.660377358490566
22024,1630217,22400582,2025-01-17,MEM @ SAS,W,33.0,10.0,17.0,0.588,2.0,6.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,11.5,3.0,0.0,3.0,3.0,22.0,23.0,1,1,0.660377358490566
22024,1630217,22400567,2025-01-15,MEM @ SAS,W,33.0,8.0,13.0,0.615,2.0,4.0,0.5,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,21.0,9.0,1,1,0.6226415094339622
22024,1630217,22400551,2025-01-13,MEM @ HOU,L,34.0,9.0,13.0,0.692,4.0,5.0,0.8,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,1.0,25.0,-11.0,1,0,0.7735849056603774
22024,1630217,22400535,2025-01-11,MEM @ MIN,W,32.0,8.0,14.0,0.571,4.0,8.0,0.5,1.0,1.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,3.0,2.0,21.0,4.0,1,1,0.6226415094339622
22024,1630217,22400520,2025-01-09,MEM vs. HOU,L,27.0,6.0,10.0,0.6,2.0,5.0,0.4,2.0,3.0,0.667,0.0,4.0,4.0,4.0,2.0,0.0,4.0,4.0,16.0,-6.0,1,0,0.4339622641509434
22024,1630217,22400485,2025-01-04,MEM @ GSW,L,35.0,9.0,20.0,0.45,2.0,8.0,0.25,2.0,2.0,1.0,0.0,4.0,4.0,10.0,2.0,1.0,6.0,0.0,22.0,-10.0,1,0,0.660377358490566
22024,1630217,22400476,2025-01-03,MEM @ SAC,L,35.0,7.0,14.0,0.5,0.0,4.0,0.0,6.0,8.0,1.0,1.0,6.0,7.0,8.0,2.0,1.0,5.0,2.0,22.0,-1.0,1,0,0.660377358490566
