Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,WL_BIN
1610612763,22400746,2025-02-08,MEM vs. OKC,L,35,17,0.67,240,36,81,0.44,12,28,0.43,28,39,0.72,10,30,40,21,7,9,13,21,112,0
1610612763,22400722,2025-02-05,MEM @ TOR,W,35,16,0.69,240,47,89,0.53,16,38,0.42,28,38,0.74,24,37,61,22,7,5,16,19,138,1
1610612763,22400703,2025-02-03,MEM vs. SAS,W,34,16,0.68,240,48,99,0.48,14,36,0.39,18,20,0.9,10,37,47,33,17,5,15,18,128,1
1610612763,22400699,2025-02-02,MEM @ MIL,W,33,16,0.67,240,52,107,0.49,14,39,0.36,14,22,0.64,22,39,61,37,9,5,11,15,132,1
1610612763,22400676,2025-01-30,MEM vs. HOU,W,32,16,0.67,240,48,93,0.52,9,28,0.32,15,20,0.75,9,28,37,23,7,6,11,25,120,1
1610612763,22400653,2025-01-27,MEM @ NYK,L,31,16,0.66,240,41,91,0.45,9,24,0.38,15,17,0.88,18,29,47,21,5,9,26,16,106,0
1610612763,22400643,2025-01-25,MEM vs. UTA,W,31,15,0.67,240,43,84,0.51,14,38,0.37,25,34,0.74,13,32,45,28,10,9,16,19,125,1
1610612763,22400632,2025-01-24,MEM vs. NOP,W,30,15,0.67,240,56,101,0.55,19,42,0.45,8,8,1.0,16,27,43,38,8,4,12,19,139,1
1610612763,22400616,2025-01-22,MEM vs. CHA,W,29,15,0.66,240,49,98,0.5,21,47,0.45,13,14,0.93,13,27,40,36,9,6,16,30,132,1
1610612763,22400601,2025-01-20,MEM vs. MIN,W,28,15,0.65,240,37,86,0.43,7,33,0.21,27,34,0.79,13,34,47,19,9,4,13,22,108,1
1610612763,22400582,2025-01-17,MEM @ SAS,W,27,15,0.64,240,55,97,0.57,19,44,0.43,11,15,0.73,10,31,41,39,9,0,7,19,140,1
1610612763,22400567,2025-01-15,MEM @ SAS,W,26,15,0.63,240,51,103,0.5,16,38,0.42,11,17,0.65,14,38,52,28,7,5,8,19,129,1
1610612763,22400551,2025-01-13,MEM @ HOU,L,25,15,0.62,240,45,84,0.54,14,32,0.44,14,21,0.67,8,23,31,15,17,2,17,25,118,0
1610612763,22400535,2025-01-11,MEM @ MIN,W,25,14,0.64,240,48,108,0.44,16,41,0.39,15,19,0.79,21,25,46,25,13,3,13,20,127,1
1610612763,22400520,2025-01-09,MEM vs. HOU,L,24,14,0.63,240,42,84,0.5,10,32,0.31,21,30,0.7,10,33,43,20,9,8,19,28,115,0
1610612763,22400499,2025-01-06,MEM vs. DAL,W,24,13,0.65,240,40,88,0.46,12,35,0.34,27,35,0.77,13,42,55,24,11,5,13,17,119,1
1610612763,22400485,2025-01-04,MEM @ GSW,L,23,13,0.64,240,46,88,0.52,9,27,0.33,12,16,0.75,12,31,43,29,9,7,22,18,113,0
1610612763,22400476,2025-01-03,MEM @ SAC,L,23,12,0.66,240,43,89,0.48,17,37,0.46,30,36,0.83,14,37,51,31,5,4,17,20,133,0
1610612763,22400453,2024-12-31,MEM @ PHX,W,23,11,0.68,240,40,94,0.43,15,44,0.34,22,33,0.67,16,35,51,27,10,6,17,29,117,1
