Season,Player_Name,Total_Jogos,Média_PTS,Mediana_PTS,PTS_<lambda_0>,Desvio_PTS,Média_REB,Mediana_REB,REB_<lambda_0>,Desvio_REB,Média_AST,Mediana_AST,AST_<lambda_0>,Desvio_AST
2023-24,Desmond Bane,42,23.720238095238095,24.0,15.0,8.309229804375855,4.345238095238095,4.0,5.0,2.374889202134659,5.333333333333333,5.0,5.0,2.58906392978627
2023-24,Ja Morant,9,25.11111111111111,26.0,17.0,6.050711620223783,5.555555555555555,6.0,6.0,1.3096861371251425,8.11111111111111,8.0,7.0,2.3687784005919825
2023-24,Jaren Jackson Jr.,66,22.515151515151516,22.0,21.0,8.496591939835325,5.507575757575758,5.0,4.0,2.5244838379396777,2.3181818181818183,2.0,2.0,1.5408198707590306
2024-25,Desmond Bane,41,18.036585365853657,19.0,22.0,6.207243997844815,5.7439024390243905,6.0,7.0,2.6246951042442817,5.317073170731708,5.0,4.0,2.675715085638266
2024-25,Ja Morant,31,20.516129032258064,21.0,16.0,6.597327578860678,4.145161290322581,4.0,2.0,2.2171436143045886,7.483870967741935,7.0,7.0,3.4046141997974404
2024-25,Jaren Jackson Jr.,50,23.34,21.5,21.0,6.953519150144665,5.9,6.0,6.0,2.0627898683133785,2.18,2.0,1.0,1.5996173011705273
