Data do Jogo,Adversário,V/D,Casa/Fora,PTS,REB,AST,Placar do Jogo,Tentativas de Cestas de 3,Cestas de 3 PTS Marcados,Tempo em Quadra,Player_Name,Season
2024-03-18,SAC,L,Fora,25.0,2.0,4.0,25.0 - ?,6.0,1.0,39.0,Jaren Jackson Jr.,2023-24
2024-03-16,OKC,L,Casa,19.0,6.0,6.0,19.0 - ?,4.0,3.0,36.0,Jaren Jackson Jr.,2023-24
2024-03-10,OKC,L,Fora,16.0,2.0,2.0,16.0 - ?,5.0,3.0,28.0,Jaren Jackson Jr.,2023-24
2024-03-08,ATL,L,Casa,21.0,9.0,3.0,21.0 - ?,2.0,0.0,35.0,Jaren Jackson Jr.,2023-24
2024-03-06,PHI,W,Fora,30.0,11.0,1.0,30.0 - ?,7.0,2.0,37.0,Jaren Jackson Jr.,2023-24
2024-02-28,MIN,L,Fora,33.0,11.5,1.0,33.0 - ?,10.0,3.0,38.0,Jaren Jackson Jr.,2023-24
2024-02-26,BKN,L,Casa,15.0,4.0,1.0,15.0 - ?,2.0,1.0,30.0,Jaren Jackson Jr.,2023-24
2024-02-23,LAC,L,Casa,29.0,4.0,5.0,29.0 - ?,7.0,2.0,32.0,Jaren Jackson Jr.,2023-24
2024-02-14,HOU,W,Casa,18.0,2.0,3.0,18.0 - ?,6.0,3.0,28.0,Jaren Jackson Jr.,2023-24
2024-02-12,NOP,L,Casa,22.0,6.0,3.0,22.0 - ?,8.0,2.0,36.0,Jaren Jackson Jr.,2023-24
2024-02-10,CHA,L,Fora,29.0,3.0,3.0,29.0 - ?,9.0,5.0,34.0,Jaren Jackson Jr.,2023-24
2024-02-08,CHI,L,Casa,28.0,2.0,4.0,28.0 - ?,10.0,4.0,32.0,Jaren Jackson Jr.,2023-24
2024-02-02,GSW,L,Casa,27.0,5.0,2.0,27.0 - ?,9.0,2.0,31.0,Jaren Jackson Jr.,2023-24
2024-02-01,CLE,L,Casa,25.0,5.0,5.0,25.0 - ?,6.0,2.0,34.0,Jaren Jackson Jr.,2023-24
2024-01-29,SAC,L,Casa,22.0,3.0,2.0,22.0 - ?,4.0,0.0,32.0,Jaren Jackson Jr.,2023-24
2024-01-28,IND,L,Fora,25.0,5.0,4.0,25.0 - ?,3.0,0.0,32.0,Jaren Jackson Jr.,2023-24
2024-01-26,ORL,W,Casa,30.0,8.0,2.0,30.0 - ?,5.0,1.0,35.0,Jaren Jackson Jr.,2023-24
2024-01-24,MIA,W,Fora,15.0,6.0,3.0,15.0 - ?,7.0,1.0,35.0,Jaren Jackson Jr.,2023-24
2024-01-22,TOR,W,Fora,27.0,4.0,5.0,27.0 - ?,5.0,2.0,32.0,Jaren Jackson Jr.,2023-24
2024-01-20,CHI,L,Fora,26.0,6.0,5.0,26.0 - ?,7.0,1.0,33.0,Jaren Jackson Jr.,2023-24
2024-01-18,MIN,L,Fora,36.0,3.0,1.0,36.0 - ?,6.0,3.0,27.0,Jaren Jackson Jr.,2023-24
