Data do Jogo,Adversário,V/D,Casa/Fora,PTS,REB,AST,Placar do Jogo,Tentativas de Cestas de 3,Cestas de 3 PTS Marcados,Tempo em Quadra,Player_Name,Season
2025-02-05,TOR,W,Fora,26.0,5.0,4.0,26.0 - ?,7.0,3.0,25.0,Ja Morant,2024-25
2025-02-03,SAS,W,Casa,25.0,3.0,11.0,25.0 - ?,6.0,4.0,29.0,Ja Morant,2024-25
2025-01-27,NYK,L,Fora,10.0,5.0,2.0,10.0 - ?,1.0,0.0,27.0,Ja Morant,2024-25
2025-01-25,UTA,W,Casa,11.0,1.0,7.0,11.0 - ?,6.0,2.0,26.0,Ja Morant,2024-25
2025-01-22,CHA,W,Casa,16.0,4.0,13.0,16.0 - ?,5.0,2.0,32.0,Ja Morant,2024-25
2025-01-20,MIN,W,Casa,19.0,4.0,7.0,19.0 - ?,4.0,0.0,30.0,Ja Morant,2024-25
2025-01-15,SAS,W,Fora,21.0,4.0,12.0,21.0 - ?,2.0,1.0,31.0,Ja Morant,2024-25
2025-01-13,HOU,L,Fora,29.0,3.0,4.0,29.0 - ?,9.75,4.0,37.0,Ja Morant,2024-25
2025-01-11,MIN,W,Fora,12.0,5.0,4.0,12.0 - ?,4.0,0.0,30.0,Ja Morant,2024-25
2025-01-09,HOU,L,Casa,27.0,3.0,3.0,27.0 - ?,5.0,1.0,29.0,Ja Morant,2024-25
2024-12-27,NOP,W,Fora,25.0,2.0,7.0,25.0 - ?,4.0,3.0,25.0,Ja Morant,2024-25
2024-12-26,TOR,W,Casa,15.0,2.0,9.0,15.0 - ?,3.0,1.0,24.0,Ja Morant,2024-25
2024-12-23,LAC,L,Casa,23.0,6.0,4.0,23.0 - ?,8.0,2.0,29.0,Ja Morant,2024-25
2024-12-19,GSW,W,Casa,9.0,3.0,3.0,9.0 - ?,5.0,1.0,17.25,Ja Morant,2024-25
2024-12-15,LAL,L,Fora,20.0,7.0,6.0,20.0 - ?,7.0,2.0,31.0,Ja Morant,2024-25
2024-12-13,BKN,W,Casa,28.0,7.0,10.0,28.0 - ?,6.0,3.0,32.0,Ja Morant,2024-25
2024-12-07,BOS,W,Fora,32.0,8.75,9.0,32.0 - ?,6.0,4.0,34.0,Ja Morant,2024-25
2024-12-05,SAC,W,Casa,8.0,3.0,7.0,8.0 - ?,6.0,0.0,28.0,Ja Morant,2024-25
2024-12-03,DAL,L,Fora,31.0,2.0,4.0,31.0 - ?,6.0,3.0,31.0,Ja Morant,2024-25
2024-12-01,IND,W,Casa,19.0,2.0,8.0,19.0 - ?,7.0,2.0,27.0,Ja Morant,2024-25
2024-11-29,NOP,W,Casa,27.0,3.0,7.0,27.0 - ?,4.0,0.0,29.0,Ja Morant,2024-25
2024-11-25,POR,W,Casa,22.0,2.0,11.0,22.0 - ?,3.0,2.0,23.0,Ja Morant,2024-25
2024-11-06,LAL,W,Casa,20.0,4.0,5.0,20.0 - ?,3.0,2.0,24.0,Ja Morant,2024-25
2024-11-04,BKN,L,Fora,25.0,5.0,9.0,25.0 - ?,3.0,1.0,33.0,Ja Morant,2024-25
2024-11-02,PHI,W,Fora,18.0,6.0,12.0,18.0 - ?,2.0,0.0,31.0,Ja Morant,2024-25
2024-10-31,MIL,W,Casa,26.0,8.75,14.0,26.0 - ?,5.0,2.0,29.0,Ja Morant,2024-25
2024-10-30,BKN,L,Casa,14.0,8.0,11.0,14.0 - ?,6.0,1.0,29.0,Ja Morant,2024-25
2024-10-26,ORL,W,Casa,16.0,2.0,10.0,16.0 - ?,6.0,0.0,25.0,Ja Morant,2024-25
2024-10-25,HOU,L,Fora,24.0,0.0,2.0,24.0 - ?,4.0,2.0,24.0,Ja Morant,2024-25
2024-10-23,UTA,W,Fora,22.0,5.0,10.0,22.0 - ?,2.0,0.0,28.0,Ja Morant,2024-25
