Season,Total de Rebotes,Total de Rebotes Ofensivos,Total de Rebotes Defensivos,Total de Pontos,Total de Cestas de 2 Pontos,Total de Cestas de 3 Pontos,Total de Lance Livre Convertidos
2023-24,3494,896,2598,8677,2074,1071,1316
2024-25,2483,689,1794,6424,1628,730,978
